timestamp calibVersion serialNumber ASIC_ID channel MDACCorrectionCode0_RAW MDACCorrectionCode1_RAW MDACCorrectionCode2_RAW MDACCorrectionCode3_RAW MDACCorrectionCode4_RAW MDACCorrectionCode5_RAW MDACCorrectionCode6_RAW MDACCorrectionCode7_RAW W_2ND_16_RAW W_2ND_24_RAW W_2ND_32_RAW W_2ND_64_RAW W_2ND_128_RAW W_2ND_224_RAW W_1ST_128_RAW W_1ST_256_RAW W_1ST_384_RAW W_1ST_640_RAW W_1ST_1024_RAW W_1ST_2048_RAW W_1ST_3584_RAW W_2ND_10_RAW W_2ND_6_RAW W_2ND_4_RAW W_2ND_2_RAW W_2ND_1_RAW W_2ND_0p5_RAW W_2ND_0p25_RAW MDACCorrectionCode0_DDPU MDACCorrectionCode1_DDPU MDACCorrectionCode2_DDPU MDACCorrectionCode3_DDPU MDACCorrectionCode4_DDPU MDACCorrectionCode5_DDPU MDACCorrectionCode6_DDPU MDACCorrectionCode7_DDPU SARCorrectionCode6 SARCorrectionCode7 SARCorrectionCode8 SARCorrectionCode9 SARCorrectionCode10 SARCorrectionCode11 SARCorrectionCode12 SARCorrectionCode13 SARCorrectionCode14 SARCorrectionCode15 SARCorrectionCode16 SARCorrectionCode17 SARCorrectionCode18 SARCorrectionCode19 SARCorrectionCode20
"3/9/2022 21:9:38" 3 169153 0 5 262.0891250000002 4359.58075 4358.8000624999995 4357.601000000001 4359.980125 4357.669500000001 4358.1795624999995 4355.517374999999 12.90984375 23.740843749999996 26.625156250000003 52.75121875000002 105.63718749999998 184.18643750000007 86.39499999999998 173.31765624999997 260.06590624999995 432.7267187499999 691.8180312499999 1382.26814875 2419.2859612499997 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1048 18487 35922 53352 70792 88223 105656 123078 34 57 74 136 153 303 607 1059 497 996 1495 2487 3977 7945 13906
"3/9/2022 21:13:17" 3 169153 0 6 250.7584374999999 4348.7023125 4347.5444375 4345.3553125 4346.4581875 4343.0125 4344.0061875 4342.5665625 15.930375 23.71399999999999 31.70025249999999 62.96534375000001 126.13038624999996 219.7541825 127.96878124999998 256.47325 384.48506249999997 640.1450312499999 1024.04384375 2045.8230312499998 3580.9211249999994 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1003 18398 35788 53169 70555 87927 105303 122674 23 39 62 92 123 245 490 853 497 996 1493 2486 3977 7945 13906
"3/9/2022 21:18:11" 3 169153 0 7 248.18831249999994 4346.8625624999995 4347.564312500001 4347.020125000001 4348.232 4347.5510625 4347.193625 4344.7275625 15.36084375 23.866906249999985 31.370255000000014 62.02528125 124.42921874999999 217.11256250000002 123.60164749999998 247.86282874999995 371.2108924999999 618.4721187499999 989.1763699999999 1976.6712724999998 3458.5366687499995 10.0 6.0 4.0 2.0 1.0 0.5 0.25 993 18380 35770 53159 70551 87942 105330 122709 24 40 62 96 126 249 500 873 497 997 1493 2487 3977 7948 13906
"3/9/2022 21:21:52" 3 169153 0 8 226.40381249999996 4324.040125 4322.47925 4321.811125 4324.3682499999995 4322.9151875 4322.097125 4320.560375 15.837656250000002 23.723182500000007 31.473343749999998 62.51268749999998 125.39221874999997 218.27715625000002 125.12287500000005 251.15521875000007 376.73668750000013 627.4893125000003 1002.8259375000005 2005.6431875000007 3509.0082812500013 10.0 6.0 4.0 2.0 1.0 0.5 0.25 906 18202 35492 52779 70076 87368 104656 121939 24 40 63 94 125 248 497 865 496 995 1493 2487 3974 7948 13906
"3/9/2022 21:26:3" 4 169153 0 1 241.8108749999999 4338.9750625 4338.6401875 4339.072375 4340.3159375 4338.48225 4338.651625 4335.9395625 16.014375 23.88765624999999 32.060687500000014 64.0548475 128.3105625 223.71952125000004 129.86394999999993 260.5778187499999 390.4301399999998 650.5673962499998 1039.9613199999994 2078.425956249999 3637.9940349999983 10.0 6.0 4.0 2.0 1.0 0.5 0.25 967 18323 35678 53034 70395 87749 105104 122448 23 38 61 91 123 245 490 855 496 996 1492 2487 3975 7945 13906
"3/9/2022 21:29:55" 4 169153 0 2 270.7268124999998 4367.193 4369.063999999999 4368.534874999999 4369.602 4368.4752499999995 4367.8836875 4364.439625000001 16.060593750000002 24.34590625 32.561468749999996 64.5654375 129.68984375 225.89640625000004 132.62720375 266.1388425 398.57860875000006 663.6702375000001 1061.43098875 2120.5990975000004 3712.6314762500006 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1083 18552 36028 53502 70980 88454 105926 123384 22 37 60 91 122 242 486 846 497 997 1493 2486 3976 7943 13906
"3/9/2022 21:34:0" 4 169153 0 3 300.3593125 4396.8780625 4398.0481875 4397.3278125 4398.851625 4397.1101874999995 4396.328125 4394.709812499999 15.559000000000001 22.79053125 30.024949999999997 59.74003125 119.658725 208.6281125 120.43665625 241.97840624999998 362.17106249999995 603.58871875 964.91128125 1927.3448437499999 3373.862875 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1201 18789 36381 53970 71566 89154 106740 124318 25 41 64 94 124 246 493 860 496 997 1493 2488 3977 7944 13906
"3/9/2022 21:38:12" 4 169153 0 4 253.6685 4350.971625 4350.949125 4349.7440625 4350.9098125 4348.7168125 4349.66125 4347.492625 15.758437500000001 23.658750000000005 31.343187500000006 62.077156249999994 124.52482500000002 216.90746875000002 125.22190625000005 251.10921875000008 376.08503125000016 626.7311875000001 1002.1596562500004 2002.3964375000005 3505.302468750001 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1015 18419 35822 53221 70625 88020 105418 122808 24 40 63 94 124 246 494 860 497 996 1492 2486 3976 7944 13906
"3/9/2022 21:42:19" 4 169153 0 5 261.7660000000001 4359.3289375 4358.593749999999 4357.785062499999 4359.22075 4356.7138749999995 4358.2633749999995 4355.0344375 12.915906249999999 23.81406249999999 26.516928749999984 52.73878125 105.820625 184.38465625000006 85.57737500000002 171.77300000000002 257.61212500000005 428.6731250000001 685.2858125000001 1369.0936000000002 2396.5375375000003 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1047 18484 35919 53350 70787 88214 105647 123067 35 58 75 138 154 306 614 1070 497 997 1495 2487 3976 7944 13906
"3/9/2022 21:46:12" 4 169153 0 6 250.79487500000005 4348.710125 4347.385562500001 4345.0545 4346.757875 4343.3936875 4344.4745 4342.644249999999 15.968843749999998 23.815312499999997 31.6302225 62.67793750000001 125.64150000000004 218.91892875000002 126.57362499999999 253.64421874999996 380.2753124999999 633.3762499999999 1013.0035312499999 2023.7772812499998 3542.2794062499997 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1003 18398 35788 53168 70555 87928 105306 122677 24 39 63 93 124 246 493 859 497 996 1493 2486 3977 7945 13906
